DemandAggregatedForecast,WindAggregatedForecast,MULTI_FUEL_-24,GAS_-24,,,GasPrice,CarbonPrice,cost
4709,477.75,-3261.4,-717,,,43.09,27.63,44.8168
4613,381,-3268.8,-719,,,43.09,27.63,44.8168
4748,386.3,-3277.1,-724,,,43.09,27.63,44.8168
4471,398.86,-3271.1,-728,,,43.09,27.63,44.8168
4018,244.08,-3228.2,-731,,,42.72,27.63,44.5245
3816,197.67,-3228.2,-732,,,42.72,27.63,44.5245
3570,151.95,-3251.7,-734,,,42.72,27.63,44.5245
3377,126.85,-3250.6,-734,,,42.72,27.63,44.5245
3282,114.97,-3267.4,-734,,,42.72,27.63,44.5245
3160,103.37,-3268.4,-735,,,42.72,27.63,44.5245
3163,83.99,-3282.2,-735,,,42.72,27.63,44.5245
3293,62.93,-3281.2,-735,,,42.72,27.63,44.5245
3459,57.36,-3297.2,-735,,,42.72,27.63,44.5245
3895,62.83,-3295.2,-733,,,42.72,27.63,44.5245
4331,68.78,-3295.6,-732,,,42.72,27.63,44.5245
4503,68.49,-3296,-728,,,42.72,27.63,44.5245
4564,66.4,-3296,-723,,,42.72,27.63,44.5245
4535,67.27,-3296.1,-718,,,42.72,27.63,44.5245
4480,71.83,-3275,-715,,,42.72,27.63,44.5245
4302,71.8,-3238.1,-709,,,42.72,27.63,44.5245
4208,77.37,-3185.1,-708,,,42.72,27.63,44.5245
4189,85.41,-3159.5,-707,,,42.72,27.63,44.5245
4331,95.35,-3164.5,-707,,,42.72,27.63,44.5245
4527,113.93,-3168.4,-709,,,42.72,27.63,44.5245
4440,136.96,-3170.4,-713,,,42.72,27.63,44.5245
4306,159.48,-3171.4,-716,,,42.72,27.63,44.5245
4456,190.06,-3172.3,-724,,,42.72,27.63,44.5245
4232,244.64,-3158.1,-728,,,42.72,27.63,44.5245
3813,324.73,-3249.1,-737,,,40.81,27.63,43.0156
3708,369.17,-3288.7,-739,,,40.81,27.63,43.0156
3562,397.49,-3174.4,-740,,,40.81,27.63,43.0156
3331,438.76,-3163.2,-740,,,40.81,27.63,43.0156
3212,494.58,-3164.2,-741,,,40.81,27.63,43.0156
3120,525.96,-3167.3,-740,,,40.81,27.63,43.0156
3107,538.84,-3200.8,-741,,,40.81,27.63,43.0156
3138,568.55,-3159.1,-739,,,40.81,27.63,43.0156
3221,634.78,-3199.4,-738,,,40.81,27.63,43.0156
3543,704.14,-3194.4,-736,,,40.81,27.63,43.0156
3924,771.79,-3192,-733,,,40.81,27.63,43.0156
4169,863.56,-3229.1,-732,,,40.81,27.63,43.0156
4378,1031.19,-3245.2,-729,,,40.81,27.63,43.0156
4496,1225.78,-3245.3,-725,,,40.81,27.63,43.0156
4606,1382.75,-3261.2,-723,,,40.81,27.63,43.0156
4384,1508.67,-3265,-719,,,40.81,27.63,43.0156
4181,1674.82,-3253.8,-718,,,40.81,27.63,43.0156
4179,1780.02,-3269,-718,,,40.81,27.63,43.0156
4232,1834.6,-3295.6,-718,,,40.81,27.63,43.0156
4305,1847.81,-3293.2,-719,,,40.81,27.63,43.0156
4263,1838.49,-3302,-719,,,40.81,27.63,43.0156
4317,1783.78,-3293.7,-720,,,40.81,27.63,43.0156
4418,1818.07,-3303.9,-724,,,40.81,27.63,43.0156
4148,1956.21,-3286.8,-726,,,40.81,27.63,43.0156
3667,1767.96,-3195.9,-728,,,40.33,27.63,42.6364
3441,1988.16,-3195.9,-728,,,40.33,27.63,42.6364
3277,2156.04,-3288.8,-740,,,40.33,27.63,42.6364
3136,2198.31,-3292.5,-740,,,40.33,27.63,42.6364
3006,2263.22,-3293,-740,,,40.33,27.63,42.6364
2931,2294.21,-3292.1,-736,,,40.33,27.63,42.6364
2954,2305.71,-3157.7,-735,,,40.33,27.63,42.6364
3027,2303.89,-3180,-733,,,40.33,27.63,42.6364
3099,2329.45,-3221.1,-725,,,40.33,27.63,42.6364
3416,2319.16,-3233.3,-722,,,40.33,27.63,42.6364
3794,2313.08,-3247.7,-719,,,40.33,27.63,42.6364
4059,2331,-3369.5,-712,,,40.33,27.63,42.6364
4234,2378.5,-3274.2,-711,,,40.33,27.63,42.6364
4312,2419.57,-3224.6,-710,,,40.33,27.63,42.6364
4317,2476.59,-3164.1,-711,,,40.33,27.63,42.6364
4153,2442.85,-3163.9,-710,,,40.33,27.63,42.6364
4046,2393.2,-3165.3,-710,,,40.33,27.63,42.6364
4014,2249.16,-3166.3,-720,,,40.33,27.63,42.6364
4201,2083.06,-3167.6,-721,,,40.33,27.63,42.6364
4393,1906.23,-3286.9,-722,,,40.33,27.63,42.6364
4311,1724.18,-3347.2,-723,,,40.33,27.63,42.6364
4202,1513.39,-3348.1,-724,,,40.33,27.63,42.6364
4525,1396.65,-3233.6,-726,,,40.33,27.63,42.6364
4275,1345.53,-3273.4,-725,,,40.33,27.63,42.6364
3774,1398.14,-3306.9,-712,,,37.02,27.63,40.0215
3370,1369.52,-3307.3,-712,,,37.02,27.63,40.0215
3193,1344.21,-3279.5,-714,,,37.02,27.63,40.0215
3046,1271.94,-3249.7,-715,,,37.02,27.63,40.0215
2954,1216.65,-3008.7,-714,,,37.02,27.63,40.0215
2909,1146.91,-3008.7,-714,,,37.02,27.63,40.0215
2965,1077.07,-3008.7,-714,,,37.02,27.63,40.0215
3200,1095.25,-2940.5,-712,,,37.02,27.63,40.0215
3660,1220.14,-3187.3,-712,,,37.02,27.63,40.0215
4401,1284.46,-3214.2,-710,,,37.02,27.63,40.0215
4844,1256.33,-3221.1,-708,,,37.02,27.63,40.0215
4919,1259.39,-3217.7,-705,,,37.02,27.63,40.0215
4922,1307.79,-3186.2,-700,,,37.02,27.63,40.0215
4872,1404.89,-3154.2,-697,,,37.02,27.63,40.0215
4848,1548.74,-3152.2,-693,,,37.02,27.63,40.0215
4700,1639.53,-3156.5,-689,,,37.02,27.63,40.0215
4656,1708.04,-3192.9,-688,,,37.02,27.63,40.0215
4672,1688.13,-3211.3,-688,,,37.02,27.63,40.0215
4829,1638.81,-3214.1,-687,,,37.02,27.63,40.0215
4945,1620.87,-3213,-691,,,37.02,27.63,40.0215
4757,1598.56,-3251.7,-694,,,37.02,27.63,40.0215
4627,1517.21,-3317.9,-696,,,37.02,27.63,40.0215
4855,1546.5,-3317.6,-700,,,37.02,27.63,40.0215
4509,1636.85,-3301.4,-703,,,37.02,27.63,40.0215
3899,946.42,-3142,-706,,,35.68,28.29,39.2203
3635,1013.24,-3142.9,-708,,,35.68,28.29,39.2203
3475,1136.68,-3143.5,-710,,,35.68,28.29,39.2203
3327,1237.58,-3143.1,-711,,,35.68,28.29,39.2203
3252,1334.42,-3142.1,-712,,,35.68,28.29,39.2203
3199,1362.9,-3141.2,-713,,,35.68,28.29,39.2203
3245,1392.37,-3139.3,-712,,,35.68,28.29,39.2203
3455,1430.64,-3136.9,-711,,,35.68,28.29,39.2203
3865,1471.52,-3152.7,-711,,,35.68,28.29,39.2203
4504,1461.3,-3148.5,-709,,,35.68,28.29,39.2203
4872,1495.68,-3144.9,-708,,,35.68,28.29,39.2203
4907,1598.13,-3146.6,-705,,,35.68,28.29,39.2203
4954,1681.2,-3147.1,-704,,,35.68,28.29,39.2203
4888,1678.62,-3253.7,-701,,,35.68,28.29,39.2203
4830,1668.93,-3427.2,-697,,,35.68,28.29,39.2203
4708,1625.49,-3255.8,-693,,,35.68,28.29,39.2203
4684,1615.15,-3255.7,-693,,,35.68,28.29,39.2203
4747,1575.89,-3259.3,-692,,,35.68,28.29,39.2203
4926,1536.06,-3341.1,-692,,,35.68,28.29,39.2203
5065,1428.42,-3501,-692,,,35.68,28.29,39.2203
4896,1310.33,-3347.7,-693,,,35.68,28.29,39.2203
4731,1154.67,-3506,-693,,,35.68,28.29,39.2203
4917,1015.95,-3350.7,-697,,,35.68,28.29,39.2203
4622,978.54,-3488.4,-700,,,35.68,28.29,39.2203
4077,1132.9,-2722,-702,,,30.58,28.14,35.1328
3701,1146.26,-2721.1,-703,,,30.58,28.14,35.1328
3517,1219.32,-2721.1,-704,,,30.58,28.14,35.1328
3320,1300.01,-2721.1,-705,,,30.58,28.14,35.1328
3206,1369.76,-2721.1,-705,,,30.58,28.14,35.1328
3177,1339.94,-2720.1,-705,,,30.58,28.14,35.1328
3205,1228.8,-2720.1,-704,,,30.58,28.14,35.1328
3391,1079.21,-2721.1,-703,,,30.58,28.14,35.1328
3845,969.34,-2733.7,-704,,,30.58,28.14,35.1328
4489,872.28,-2733.7,-704,,,30.58,28.14,35.1328
4879,804.49,-2733.7,-703,,,30.58,28.14,35.1328
4942,768.19,-2733.7,-700,,,30.58,28.14,35.1328
4969,719.11,-2733.7,-700,,,30.58,28.14,35.1328
4958,645.63,-2733.7,-699,,,30.58,28.14,35.1328
4959,591.24,-2733.7,-698,,,30.58,28.14,35.1328
4803,529.9,-2733.7,-697,,,30.58,28.14,35.1328
4797,467.83,-2733.7,-698,,,30.58,28.14,35.1328
